,item_id,labels,en,es-CO,de,fr
168,ToM-scene1-instruct2,theory-of-mind,"But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero, cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Aber als Petra draußen gespielt hat, hat es jemand gefunden! Und hat es unter dem Teppich versteckt. ","Mais quand Madison était en dehors de jouer, quelqu'un l'a trouvé, et l'a caché sous le tapis. "
169,ToM-scene1-instruct3,theory-of-mind,So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt ist also Lesezeit und Petra möchte ihr Buch.,Il est maintenant temps de lire et Madison veut son livre.
170,ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book? Behind the chair or under the rug?,Where will Madison look first for her book? Behind the chair or under the rug?,Where will Madison look first for her book? Behind the chair or under the rug?,Comment Madison va-t-elle chercher son livre en premier?
171,ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really? Is it behind the chair or under the rug?,And where is her book really? Is it behind the chair or under the rug?,And where is her book really? Is it behind the chair or under the rug?,Et où est vraiment son livre ?
172,ToM-scene1-q3-emotion_reasoning,theory-of-mind,"Look, Madison found her book! How do you think she feels about finding her book?","Look, Madison found her book! How do you think she feels about finding her book?","Look, Madison found her book! How do you think she feels about finding her book?","« Regardez, Madison a trouvé son livre! Que pensez-vous qu'elle a envie de trouver son livre? »"
173,ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book above the coat hooks. Ethan’s book is blue! ","This morning when he came to school, Ethan put his book above the coat hooks. Ethan’s book is blue! ","This morning when he came to school, Ethan put his book above the coat hooks. Ethan’s book is blue! ","Ce matin, quand il est venu à l'école, Ethan a mis son livre au-dessus des crochets de manteau, le livre d'Ethan est bleu! "
174,ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks to behind the coats, see? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks to behind the coats, see? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks to behind the coats, see? ","Et puis il est sorti pour jouer, voir? Voici Ethan jouer dehors. Et alors qu’il était en dehors du jeu, le livre d’Ethan est tombé du haut des crochets à derrière les manteaux, voyez-vous? "
175,ToM-scene2-instruct3,theory-of-mind,"Then Paul comes in and Paul puts his book up here, above the coat hooks. Paul’s book is also blue! Ethan is still outside playing, so he didn't see what Paul was doing.","Then Paul comes in and Paul puts his book up here, above the coat hooks. Paul’s book is also blue! Ethan is still outside playing, so he didn't see what Paul was doing.","Then Paul comes in and Paul puts his book up here, above the coat hooks. Paul’s book is also blue! Ethan is still outside playing, so he didn't see what Paul was doing.","Puis Paul entre et Paul met son livre ici, au-dessus des crochets de manteau. Le livre de Paul est aussi bleu! Ethan est encore en dehors de jouer, donc il ne voyait pas ce que Paul faisait."
176,ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?","Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?","Now, when Ethan comes in from outside, where will he look first for his book: up on the shelf, or behind the coats?","Maintenant, quand Ethan viendra de l'extérieur, où va-t-il chercher son livre : sur l'étagère ou derrière les manteaux?"
177,ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Paul sees Ethan reaching for that book--the book that Paul thinks is his!","Voyons ce qu'il fait. Oh, regardez, voici Ethan pour atteindre ce livre sur l'étagère. Et maintenant, Paul voit Ethan chercher ce livre, le livre que Paul pense qu'il est le sien!"
178,shelf,theory-of-mind,up on the shelf,up on the shelf,up on the shelf,sur l'étagère
179,coats,theory-of-mind,behind the coats,behind the coats,behind the coats,derrière les manteaux
180,ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Paul feels about Ethan reaching for that book? ,How do you think Paul feels about Ethan reaching for that book? ,How do you think Paul feels about Ethan reaching for that book? ,Que pensez-vous que Paul se sent à l'idée qu'Ethan parvienne à ce livre? 
181,ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Paul's book?,Is Ethan being mean and naughty for taking Paul's book?,Is Ethan being mean and naughty for taking Paul's book?,Ethan est-il méchant et méchant d'avoir pris le livre de Paul?
182,ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Paul's book?,Should Ethan get in trouble with the teacher for taking Paul's book?,Should Ethan get in trouble with the teacher for taking Paul's book?,Ethan devrait-il se mettre en difficulté avec le professeur pour avoir pris le livre de Paul?
183,ToM-scene2-q5-reality_check,theory-of-mind,Can you help Paul find his book? Is it on the shelf or behind the coats?,Can you help Paul find his book? Is it on the shelf or behind the coats?,Can you help Paul find his book? Is it on the shelf or behind the coats?,Pouvez-vous aider Paul à trouver son livre? Est-ce sur l'étagère ou derrière les manteaux?
184,ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or behind the coats?,Can you help Ethan find his book? Is it on the shelf or behind the coats?,Can you help Ethan find his book? Is it on the shelf or behind the coats?,Pouvez-vous aider Ethan à trouver son livre ?
185,ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Johann, Isabelle und Jens spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ","Joshua, Isabel et Ivan jouent à un jeu. Voici comment se déroule le jeu: un enfant se cache, mais dessine un indice dans le bac à sable pour que les autres enfants puissent les trouver. "
186,ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",Jens geht also als Erster. Er malt diesen Hinweis in den Sandkasten und versteckt sich dann. ,"Ivan va donc en premier. Il dessine cet indice dans le bac à sable, puis il va se cacher. "
187,ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarle.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Isabelle und Jens werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.",C'est maintenant au tour de Josué de laisser un indice et de se cacher. Isabel et Ivan essaieront alors d'utiliser l'indice pour le trouver.
188,ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain.","Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain.","Joshua decides to hide behind the drinking fountain. So he draws a clue like this: here is the bottom metal part of the fountain, and here is lots of water coming out of it. Then Joshua goes to hide behind the fountain.","Joshua décide de se cacher derrière la fontaine de consommation. Il dessine donc un indice comme celui-ci : voici la partie métallique inférieure de la fontaine, et ici il y a beaucoup d'eau qui en sorte. Alors Joshua va se cacher derrière la fontaine."
189,ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw? A fountain or a tree?,What did Joshua mean to draw? A fountain or a tree?,What did Joshua mean to draw? A fountain or a tree?,Que voulait dire Josué pour dessiner? Une fontaine ou un arbre?
190,ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?","When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?","When Isabel and Ivan see this clue, where will they look first for Joshua? Behind the fountain or behind the tree?","Quand Isabel et Ivan verront cet indice, où chercheront-ils d'abord Josué ?"
191,ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is? Behind the fountain or behind the tree?,Can you help them find where Joshua really is? Behind the fountain or behind the tree?,Can you help them find where Joshua really is? Behind the fountain or behind the tree?,Pouvez-vous les aider à trouver où se trouve Joshua ? Derrière la fontaine ou derrière l'arbre?
192,ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Regardez, Isabel et Ivan ont trouvé Joshua et gagné le jeu! Que pensez-vous d'Isabel pour gagner le jeu?"
193,ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es la hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist fast Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen finden. ","Maintenant les jeux sont terminés, et il est presque temps de rentrer chez vous, la mère dit aux enfants de trouver tous leurs jouets. "
194,ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. ","Joshua a amené son camion de jouets avec lui dans le parc, mais maintenant il ne peut pas le trouver. Il regarde partout, mais il ne le trouve pas. "
