old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_13_elements_2_elements_0_rows_1_text,pages_12_elements_2_elements_0_rows_1_text,Work to finish school-related tasks they start?,Work to finish school-related tasks they start?,missing key,Work to finish school-related tasks they start?,missing key,Work to finish school-related tasks they start?,"Arbeiten, um angefangene schulische Aufgaben zu beenden?","Arbeiten, um angefangene schulische Aufgaben zu beenden?",missing key,missing key,¿Trabajar para terminar las tareas del colegio que ha iniciado?,missing key,missing key,¿Trabajar para terminar las tareas del colegio que ha iniciado?
pages_13_elements_2_elements_0_rows_3_text,pages_12_elements_2_elements_0_rows_2_text,Care about doing well in school?,Care about doing well in school?,missing key,Care about doing well in school?,missing key,Care about doing well in school?,"Sich darum bemühen, gut in der Schule zu sein?","Sich darum bemühen, gut in der Schule zu sein?",missing key,missing key,¿Preocuparse por que le vaya bien en la escuela?,missing key,missing key,¿Preocuparse por que le vaya bien en la escuela?
pages_13_elements_2_elements_0_title,pages_12_elements_2_elements_0_title,How often does your child do the following:,How often does your child do the following:,missing key,How often does your child do the following:,missing key,How often does your child do the following:,Wie oft macht Ihr Kind die folgenden Dinge:,Wie oft macht Ihr Kind die folgenden Dinge:,missing key,missing key,Con qué frecuencia su niño(a) hace lo siguiente:,missing key,missing key,Con qué frecuencia su niño(a) hace lo siguiente:
pages_13_elements_3_choices_0_text,pages_12_elements_3_choices_0_text,Less than 1 hour,Less than 1 hour,missing key,Less than 1 hour,missing key,Less than 1 hour,Weniger als 1 Stunde,Weniger als 1 Stunde,missing key,missing key,Menos de 1 hora,missing key,missing key,Menos de 1 hora
pages_13_elements_3_choices_1_text,pages_12_elements_3_choices_1_text,1 hour,1 hour,missing key,1 hour,missing key,1 hour,1 Stunde,1 Stunde,missing key,missing key,1 hora,missing key,missing key,1 hora
pages_13_elements_3_choices_2_text,pages_12_elements_3_choices_2_text,2 hours,2 hours,missing key,2 hours,missing key,2 hours,2 Stunde,2 Stunde,missing key,missing key,2 horas,missing key,missing key,2 horas
pages_13_elements_3_choices_3_text,pages_12_elements_3_choices_3_text,3 hours,3 hours,missing key,3 hours,missing key,3 hours,3 Stunde,3 Stunde,missing key,missing key,3 horas,missing key,missing key,3 horas
pages_13_elements_3_choices_4_text,pages_12_elements_3_choices_4_text,4 or more hours,4 or more hours,missing key,4 or more hours,missing key,4 or more hours,4 oder mehr Stunden,4 oder mehr Stunden,missing key,missing key,4 horas o más,missing key,missing key,4 horas o más
,pages_12_elements_3_title,missing key,"<b>ON MOST WEEKDAYS</b> (Monday-Friday), about how much time does your child spend in front of a TV, computer, cellphone, or other device watching programs, playing games, accessing the internet, or using social media? <i>Do not include time spent doing schoolwork.</i>",missing key,missing key,missing key,missing key,missing key,"Wie viel Zeit hat Ihr Kind <b>AN DEN MEISTEN WOCHENTAGEN</b> (Montag-Freitag) vor dem Fernseher, Computer, um sich Programme anzusehen, um sich Programme anzusehen, Spiele zu spielen, auf das Internet zuzugreifen oder Social Media zu nutzen? Berücksichtigen Sie nicht die Zeit, die sie mit Schularbeiten verbringen.",missing key,missing key,missing key,missing key,missing key,"<b>DURANTE LOS DÍAS DE LA SEMANA</b> (lunes a viernes), ¿cuánto tiempo estima usted que pasa su niño(a) frente al televisor, la computadora, el teléfono celular u otro dispositivo electrónico viendo programas, jugando, navegando la internet o las redes sociales? <i>No incluya el tiempo dedicado a las tareas escolares.</i>"
pages_6_elements_0_labelFalse,pages_12_elements_4_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_12_elements_4_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_13_elements_4_title,pages_12_elements_4_title,Does your child have a smartphone?,Does your child have a smartphone?,missing key,Does your child have a smartphone?,missing key,Does your child have a smartphone?,Besitzt Ihr Kind ein Smartphone?,Besitzt Ihr Kind ein Smartphone?,missing key,missing key,¿Su niño(a) tiene un teléfono inteligente?,missing key,missing key,¿Su niño(a) tiene un teléfono inteligente?
pages_1_elements_4_placeholder,pages_12_elements_5_placeholder,years of age,years of age,missing key,years of age,missing key,years of age,Lebensjahre,Lebensjahre,missing key,missing key,años,missing key,missing key,años
pages_13_elements_5_title,pages_12_elements_5_title,"If yes, at what age did they get it?","If yes, at what age did they get it?",missing key,"If yes, at what age did they get it?",missing key,"If yes, at what age did they get it?","Wenn ja, in welchem Alter hat es dies bekommen?","Wenn ja, in welchem Alter hat es dies bekommen?",missing key,missing key,"En caso afirmativo, ¿a qué edad lo recibió?",missing key,missing key,"En caso afirmativo, ¿a qué edad lo recibió?"
pages_6_elements_0_labelFalse,pages_12_elements_6_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_12_elements_6_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_13_elements_6_title,pages_12_elements_6_title,"Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?","Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?",missing key,"Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?",missing key,"Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?","Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram, Tiktok, Meta oder anderen Seiten?","Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram, Tiktok,Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram",missing key,missing key,"¿Tiene su niño(a) una cuenta en alguna red social como Instagram, Tiktok, Meta u otra?",missing key,missing key,"¿Tiene su niño(a) una cuenta en alguna red social como Instagram, Tiktok, Meta u otra?"
,pages_13_elements_0_elements_0_html,missing key,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br<br><br><br>4 = Always on their own (No support needed)<br>3 = Mostly on their own (Brief reminders or support)<br>2 = Sometimes on their own (Regular reminders or moderate support needed)<br>1 = Not able on their own (Requires a lot of support)",missing key,missing key,missing key,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>",missing key,"<b>Uns interessiert, wie oft etwas eigenständig geschieht, während die meisten Kinder zwischen 3 und 2 liegen werden. Diejenigen, die sich noch entwickeln und viel Unterstützung brauchen, sollten eine Bewertung von 1 erhalten. </b><br><br><b>4</b> = Immer selbstständig (Keine Unterstützung nötig)<br><br>",missing key,missing key,missing key,missing key,missing key,Nos interesa saber con qué frecuencia y facilidad  su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucha ayuda deberían recibir una calificación de 1.  <br><br>4 = Siempre por sí mismo (no necesita apoyo)<br>3 = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br> 2 = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br>1 = No puede por sí mismo (necesita mucho apoyo)
pages_14_elements_0_elements_1_choices_0_text,pages_13_elements_0_elements_1_choices_0_text,(4) Always on their own (No support needed),(4) Always on their own (No support needed),missing key,(4) Always on their own (No support needed),missing key,(4) Always on their own (No support needed),(4) Immer allein (keine Unterstützung erforderlich),(4) Immer allein (keine Unterstützung erforderlich),missing key,missing key,(4) Siempre por sí mismo (no necesita apoyo),missing key,missing key,(4) Siempre por sí mismo (no necesita apoyo)
pages_14_elements_0_elements_1_choices_1_text,pages_13_elements_0_elements_1_choices_1_text,(3) Mostly on their own (Brief reminders or support),(3) Mostly on their own (Brief reminders or support),missing key,(3) Mostly on their own (Brief reminders or support),missing key,(3) Mostly on their own (Brief reminders or support),(3) Meistens selbstständig (kurze Ermahnungen oder Unterstützung),(3) Meistens selbstständig (kurze Ermahnungen oder Unterstützung),missing key,missing key,(3) Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios),missing key,missing key,(3) Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)
pages_14_elements_0_elements_1_choices_2_text,pages_13_elements_0_elements_1_choices_2_text,(2) Sometimes on their own (Regular reminders or moderate support needed),(2) Sometimes on their own (Regular reminders or moderate support needed),missing key,(2) Sometimes on their own (Regular reminders or moderate support needed),missing key,(2) Sometimes on their own (Regular reminders or moderate support needed),(2) Manchmal selbstständig (regelmäßige Erinnerungen oder manchmal Unterstützung erforderlich),(2) Manchmal selbstständig (regelmäßige Erinnerungen oder manchmal Unterstützung erforderlich),missing key,missing key,(2) A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia),missing key,missing key,(2) A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)
pages_14_elements_0_elements_1_choices_3_text,pages_13_elements_0_elements_1_choices_3_text,(1) Not able on their own (Requires a lot of support),(1) Not able on their own (Requires a lot of support),missing key,(1) Not able on their own (Requires a lot of support),missing key,(1) Not able on their own (Requires a lot of support),"(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)","(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)",missing key,missing key,(1) No puede por sí mismo (necesita mucho apoyo),missing key,missing key,(1) No puede por sí mismo (necesita mucho apoyo)
