item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
ToM-downex6-explanation1-downex,theory-of-mind,Let’s see what happens. Bobby goes and gets the pencil on the table.,NO APPROVED TRANSLATION,,,,,"Ni vidu, kio okazos. Bobby iras por preni la krajonon sur la tablo.",,Laten we eens kijken wat er gebeurt. Bobby pakt het potlood van de tafel.,
ToM-downex6-explanation2-q-downex,theory-of-mind,Why does Bobby pick the pencil on the table?,NO APPROVED TRANSLATION,,,,,Kial Bobby elektas la krajonon sur la tablo?,,Waarom kiest Bobby het potlood op tafel?,
ToM-downex6-instruct1-downex,theory-of-mind,Here is Bobby.,NO APPROVED TRANSLATION,,,,,Jen Bobby.,,Hier is Bobby.,
ToM-downex6-instruct2-downex,theory-of-mind,"Here on the table, right in front of Bobby, is a pencil. And there’s another pencil over there on the shelf, behind Bobby’s back.",NO APPROVED TRANSLATION,,,,,"Jen sur la tablo, ĝuste antaŭ Bobby, estas krajono. Kaj tio alia krajono tie sur la breto, malantaŭ la dorso de Bobby.",,"Hier op tafel, recht voor Bobby, ligt een potlood. En daar, op de plank, achter Bobby's rug, ligt nog een potlood.",
ToM-downex6-see_both_pencils-r-downex,theory-of-mind,He can see both pencils,NO APPROVED TRANSLATION,,,,,Li povas vidi ambaŭ krajonojn,,Hij kan beide potloden zien.,
ToM-downex6-see_table_pencil-r-downex,theory-of-mind,He only sees the pencil on the table,NO APPROVED TRANSLATION,,,,,Li nur vidas la krajonon sur la tablo,,Hij ziet alleen het potlood op de tafel.,
ToM-downex6-shelf-r-downex,theory-of-mind,On the shelf,Sobre el estante,,,,,Sur la breto,,Op de plank,
ToM-downex6-shelf_pencil-r-downex,theory-of-mind,The pencil on the shelf behind Bobby,NO APPROVED TRANSLATION,,,,,La krajono sur la breto malantaŭ Bobby,,Het potlood op de plank achter Bobby,
ToM-downex6-table-r-downex,theory-of-mind,On the table,En la mesa,,,,,Sur la tablo,,Op tafel,
ToM-downex6-table_pencil-r-downex,theory-of-mind,The pencil on the table in front of Bobby,NO APPROVED TRANSLATION,,,,,La krajono sur la tablo antaŭ Bobby,,Het potlood ligt op de tafel voor Bobby.,
ToM-downex6-test1-q-downex,theory-of-mind,"Bobby says, “I need a pencil!” Which pencil does Bobby pick up?",NO APPROVED TRANSLATION,,,,,"Bobby diras, “Mi bezonas krajonon!” Kiu krajonon Bobby prenos?",,"Bobby zegt: ""Ik heb een potlood nodig!"" Welk potlood pakt Bobby op?",
ToM-intro,theory-of-mind,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,Este es el Juego de las Historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,NO APPROVED TRANSLATION,,"Jen la Rakontludo. En ĉi tiu ludo, vi aŭskultos kelkajn rakontojn. Poste vi respondos demandojn pri la rakontoj.",NO APPROVED TRANSLATION,Dit is het verhalenspel. In dit spel luister je naar verhalen. Daarna beantwoord je vragen over de verhalen.,
ToM-scene-10-instruct1,theory-of-mind,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,La profesora Sara le dice a todos sus estudiantes que agarren un libro de cuentos de la bolsa que trajo. Hay un libro de cuentos para cada estudiante.,La profesora Sara le dice a todos sus estudiantes que cojan un libro de cuentos de la bolsa que trajo. Hay un libro de cuentos para cada estudiante.,"Lehrerin Sarah bittet alle Kinder, sich ein Bilderbuch aus der Tasche zu nehmen, die sie mitgebracht hat. Für jedes Kind gibt es ein Bilderbuch.",NO APPROVED TRANSLATION,,"Instruistino Sarah diras al ĉiuj infanoj, ke ili prenu po unu rakontolibro el la sako kiun ŝi alportis. Estas po unu rakontolibro por ĉiu infano.",NO APPROVED TRANSLATION,Juf Sarah vraagt alle kinderen om een verhalenboek uit de tas te halen die ze heeft meegebracht. Er is één verhalenboek voor elk kind.,
ToM-scene-10-instruct2,theory-of-mind,"Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.","Ahora quedan solo dos libros de cuentos y Brian y Megan son los dos últimos estudiantes que todavía no tienen un libro. Pero cuando Brian va a elegir su libro, decide agarrar los dos, aunque sabe que Megan todavía no tiene uno y que se supone que todos deberían tener un libro. Brian esconde el segundo libro de cuentos en su escritorio.","Ahora quedan solo dos libros de cuentos y Brian y Megan son los dos últimos estudiantes que todavía no tienen un libro. Pero cuando Brian va a escoger su libro, decide coger los dos, aunque sabe que Megan todavía no tiene uno y que se supone que todos deberían tener un libro. Brian esconde el segundo libro de cuentos en su escritorio.","Jetzt sind noch zwei Märchenbücher übrig, und Alexander und Tina sind die letzten beiden Kinder ohne Märchenbuch. Aber als Alexander sein Bilderbuch holen geht, beschließt er, beide Bilderbücher zu nehmen, obwohl er weiß, dass Tina noch kein Bilderbuch hat und dass jedes Kind nur eins haben darf. Alexander versteckt das zusätzliche Märchenbuch in seinem Schreibtisch.",NO APPROVED TRANSLATION,,"Nun restas du rakontolibroj, kaj Brian kaj Megan estas la lastaj du infanoj sen rakontolibroj. Sed kiam Brian iras por preni sian rakontolibron, li decidas preni ambaŭ rakontolibrojn, eĉ kvankam li scias ke Megan ankoraŭ ne havas rakontolibron, kaj ke ĉiuj rajtas nur havi unu. Brian kaŝas la ekstran rakontolibron en sia skribotablo.",NO APPROVED TRANSLATION,"Nu zijn er nog twee verhalenboeken over, en Bram en Marije zijn de laatste twee kinderen zonder verhalenboeken. Maar als Bram zijn verhalenboek gaat halen, besluit hij beide verhalenboeken te nemen, ook al weet hij dat Marije nog geen verhalenboek heeft, en dat iedereen er maar één zou moeten hebben. Bram verstopt het extra verhalenboek in zijn bureau.",
ToM-scene-10-instruct3,theory-of-mind,"Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”","La profesora Sara le pregunta a Brian: ""¿Queda algún libro de cuentos para que Megan pueda tener uno?""  Brian le dice a la profesora Sara: ""No, no queda ningún libro de cuentos. Todos se están usando.""","La profesora Sara le pregunta a Brian: ""¿Queda algún libro de cuentos para que Megan pueda tener uno?""  Brian le dice a la profesora Sara: ""No, no queda ningún libro de cuentos. Todos se están usando.""","Lehrerin Sarah fragt Alexander: „Ist noch ein Märchenbuch übrig, damit Tina eins haben kann?“  Alexander sagt zu Lehrerin Sarah: „Nein, es ist kein Märchenbuch übrig. Sie werden gerade alle benutzt.“",NO APPROVED TRANSLATION,,"Instruistino Sarah demandas al Brian, “Ĉu restas rakontolibro, por ke Megan povus havi unu?” Brian diras al Instruistino Sarah, “Ne, neniu rakontolibro restas. Ĉiuj estas uzataj nun.”",NO APPROVED TRANSLATION,"Juf Sarah vraagt aan Bram: ""Is er een nog verhalenboek over, zodat Marije er één kan hebben?"" Bram vertelt aan juf Sarah: ""Nee, er is geen verhalenboek over. Ze worden allemaal gebruikt op dit moment.""",
ToM-scene-10-instruct4,theory-of-mind,"Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”","Megan está triste porque no tiene un libro de cuentos y le pregunta a la profesora Sara: ""¿Queda algún libro de cuentos para mí?"" La profesora Sara le dice: ""Lo siento mucho Megan, pero no quedan libros de cuentos, todos están en uso.""","Megan está triste porque no tiene un libro de cuentos y le pregunta a la profesora Sara: ""¿Queda algún libro de cuentos para mí?"" La profesora Sara le dice: ""Lo siento mucho Megan, pero no quedan libros de cuentos, todos están en uso.""","Tina ist traurig, dass sie kein Märchenbuch hat, und fragt Lehrerin Sarah: „Gibt es ein zusätzliches Märchenbuch für mich?"" Lehrerin Sarah sagt: „Es tut mir so leid, Tina, aber es gibt keine Märchenbücher mehr, sie werden gerade alle benutzt.“",NO APPROVED TRANSLATION,,"Megan estas malĝoja ke ŝi ne havas rakontolibron, kaj ŝi demandas al Instruistino Sarah, ""ĉu estas ekstra rakontolibro por mi?"" Instruistino Sarah diras, “Mi tre bedaŭras Megan, sed ne restas rakontolibroj, ĉiuj estas uzataj nun.”",NO APPROVED TRANSLATION,"Marije is verdrietig dat ze geen verhalenboek heeft en vraagt aan juf Sarah: ""Is er een extra verhalenboek voor mij?"" Juf Sarah zegt: ""Het spijt me zo, Marije, maar er zijn geen verhalenboeken meer over, ze worden allemaal op dit moment gebruikt.""",
ToM-scene-10-q1-emotion_reasoning,theory-of-mind,How does Megan feel about being the only child without a storybook?,¿Cómo se siente Megan al ser la única niña sin libro de cuentos?,¿Cómo se siente Megan al ser la única niña sin libro de cuentos?,"Wie fühlt sich Tina, weil sie das einzige Kind ohne ein Märchenbuch ist?",NO APPROVED TRANSLATION,,"Kiel vi pensas, Megan sentas sciante ke ŝi estas la sola infano sen rakontolibro?",NO APPROVED TRANSLATION,"Nu zijn er nog twee verhalenboeken over, en Bram en Marije zijn de laatste twee kinderen zonder verhalenboeken. Maar als Bram zijn verhalenboek gaat halen, besluit hij beide verhalenboeken te nemen, ook al weet hij dat Marije nog geen verhalenboek heeft en dat iedereen er maar één zou moeten hebben. Bram verstopt het extra verhalenboek in zijn bureau.",
ToM-scene-10-q2-emotion_reasoning,theory-of-mind,How would Megan feel if she received a book?,¿Cómo se sentiría Megan si recibiera un libro?,¿Cómo se sentiría Megan si recibiera un libro?,"Wie würde sich Tina fühlen, wenn sie ein Buch bekommen würde?",NO APPROVED TRANSLATION,,"Kiel vi pensas, Megan sentus sin, se ŝi ricevus libron?",NO APPROVED TRANSLATION,Hoe zou Marije zich voelen als ze een boek zou krijgen?,
ToM-scene-10-q3-reality_check,theory-of-mind,Is Brian lying?,¿Está mintiendo Brian?,¿Está mintiendo Brian?,Lügt Alexander?,NO APPROVED TRANSLATION,,Ĉu Brian mensogas?,NO APPROVED TRANSLATION,Liegt Bram?,
ToM-scene-10-q4-reality_check,theory-of-mind,"Is there still a storybook left, that isn’t being used right now?",¿Queda un libro de cuentos que no se esté usando?,¿Queda un libro de cuentos que no se esté usando?,"Ist noch ein Märchenbuch übrig, das gerade nicht benutzt wird?",NO APPROVED TRANSLATION,,"Ĉu restas ankoraŭ rakontolibro, kiu ne estas uzata nun?",NO APPROVED TRANSLATION,Is er nog een verhalenboek over dat op dit moment niet gebruikt wordt?,
ToM-scene-10-q5-false_belief,theory-of-mind,Is Teacher Sarah lying?,¿Está mintiendo la profesora Sara?,¿Está mintiendo la profesora Sara?,Lügt Lehrerin Sarah?,NO APPROVED TRANSLATION,,Ĉu Instruistino Sarah mensogas?,NO APPROVED TRANSLATION,Liegt juf Sarah?,
ToM-scene-10-q6-reality_check,theory-of-mind,"Is there still a storybook left, that isn’t being used right now?",¿Queda un libro de cuentos que no se esté usando?,¿Queda un libro de cuentos que no se esté usando?,"Ist noch ein Märchenbuch übrig, das gerade nicht benutzt wird?",NO APPROVED TRANSLATION,,"Ĉu restas ankoraŭ rakontolibro, kiu ne estas uzata nun?",NO APPROVED TRANSLATION,Is er nog een verhalenboek over dat op dit moment niet gebruikt wordt?,
ToM-scene-11-instruct1,theory-of-mind,"This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.","Este es José. Hace un rato, José estaba ordenando su habitación. José puso su pelota grande de básquet en el escritorio, su pelota mediana de fútbol en la mesita de luz y su pelota pequeña de béisbol en el estante de abajo.","Este es José. Hace un rato, José estaba ordenando su habitación. José puso su pelota grande de baloncesto en el escritorio, su pelota mediano de fútbol en la mesa de noche y su pelota pequeña de béisbol en el estante de abajo.","Das ist Karl. Heute früh hat Karl sein Zimmer aufgeräumt. Karl hat seinen großen Basketball auf den Schreibtisch gelegt, seinen mittelgroßen Fußball auf den Tisch und seinen kleinen Baseball auf das unterste Regal.",NO APPROVED TRANSLATION,,"Jen estas Josh. Pli frue hodiaŭ, Josh ordigis sian ĉambron. Josh metis sian grandan basketbalon sur sian skribtablon, sian mezgrandan futbalon sur sian tablon, kaj sian malgrandan basbalon malsupren sur la suban breton.",NO APPROVED TRANSLATION,"Dit is Joost. Eerder vandaag was Joost zijn kamer aan het opruimen. Joost legde zijn grote basketbal op zijn bureau, zijn middelgrote voetbal op zijn tafel en zijn kleine honkbal op de onderste plank.",
ToM-scene-11-instruct2,theory-of-mind,"Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”","La madre de José acaba de entrar y José le pide a ella que agarre un juguete. José le dice a su mamá: ""¡Quiero la pelota pequeña!""","La madre de José acaba de entrar y José le pide a ella que coja un juguete. José le dice a su mamá: ""¡Quiero la pelota pequeña!","Karls Mutter kam gerade herein und Karl bat seine Mutter, eines der Spielzeuge zu holen. Karl sagt zu seiner Mutter: „Ich will den kleinen Ball!“",NO APPROVED TRANSLATION,,"La patrino de Josh ĵus eniris kaj Josh demandas al sia patrino, ke ŝi prenu unu el la ludiloj. Josh diras al sia patrino, “Mi volas la malgrandan pilkon!”",NO APPROVED TRANSLATION,"Joost zijn moeder komt net binnen en Joost vraagt zijn moeder om iets van het speelgoed te pakken. Joost zegt tegen zijn moeder: ""Ik wil de kleine bal!""",
ToM-scene-11-q1-reference,theory-of-mind,Which ball will mom get for Josh?,¿Cuál pelota agarrará la mamá para José?,¿Cuál pelota cogerá la mamá para José?,Welchen Ball wird Mama für Karl holen?,NO APPROVED TRANSLATION,,Kiun pilkon patrino prenos por Josĉjo?,NO APPROVED TRANSLATION,Welke bal zal mama voor Joost pakken?,
ToM-scene-11-q2-reality_check,theory-of-mind,Which ball does Josh want?,¿Cuál pelota quiere José?,¿Cuál pelota quiere José?,Welchen Ball will Karl?,NO APPROVED TRANSLATION,,Kiun pilkon Josĉjo volas?,NO APPROVED TRANSLATION,Welke bal wil Joost?,
ToM-scene-11-q3-emotion_reasoning,theory-of-mind,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,"José quería la pelota de béisbol, ¡pero su mamá le dio la pelota de fútbol! ¿Cómo creés que se siente José al recibir el juguete equivocado?","José quería la pelota de béisbol, ¡pero su mamá le dio la pelota de fútbol! ¿Cómo crees que se siente José al recibir el juguete equivocado?","Karl wollte den Baseball, aber Mama gab ihm den Fußball! Was denkst du, wie sich Karl fühlt, wenn er das falsche Spielzeug bekommt?",NO APPROVED TRANSLATION,,"Josĉjo volis la bazopilkon, sed patrino donis al li la futbalpilkon! Kiel vi pensas Josĉjo sentas pri ricevado de la malĝusta ludilo?",NO APPROVED TRANSLATION,"Joost wilde de honkbal, maar zijn moeder gaf hem de voetbal! Hoe denk je dat Joost zich voelt over het krijgen van het verkeerde speelgoed?",
ToM-scene-11-q4-emotion_reasoning,theory-of-mind,How do you think Josh would feel if he had received the correct toy?,¿Cómo creés que se sentiría José si hubiera recibido el juguete correcto?,¿Cómo crees que se sentiría José si hubiera recibido el juguete correcto?,"Was denkst du, wie er sich fühlen würde, wenn er das richtige Spielzeug bekommen hätte?",NO APPROVED TRANSLATION,,Kiel vi pensas Josĉjo sentus sin se li ricevus la ĝustan ludilon?,NO APPROVED TRANSLATION,Hoe denk je dat Joost zich zou voelen als hij het juiste speelgoed had gekregen?,
ToM-scene-12-instruct1,theory-of-mind,"This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her yellow ball at recess.","Esta mañana, Papá le preguntó a Emma qué juguete le gustaría llevarse a la escuela y Emma dijo que quería jugar con su pelota amarilla en el recreo.","Esta mañana, Papá le preguntó a Emma qué juguete le gustaría llevarse al colegio y Emma dijo que quería jugar con su pelota amarilla en el recreo.","Heute Morgen fragte Papa Emma, welches Spielzeug sie gerne mit in die Schule nehmen würde, und Emma sagte ihm, dass sie in der Pause gerne mit ihrem gelben Ball spielen würde.",NO APPROVED TRANSLATION,,"Ĉi-matene patro demandis al Emma, kiun ludilon ŝi volus kunporti al lernejo, kaj Emma diris al li, ke ŝi volus ludi kun sia flava pilko dum paŭzo.",NO APPROVED TRANSLATION,"Vanmorgen vroeg papa aan Emma welk speelgoed ze mee naar school wilde nemen, en Emma zei tegen hem dat ze tijdens de pauze met haar gele bal wilde spelen.",
